interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
10200.00,10500.00,wellawatta_kollupitiya_probe,0,0.13,0,42,AGGREGATED,2,2,0.00,43,78,0.00,146.71,90.56,16.32,0.98,7.82,146.45,0.00
10200.00,10500.00,wellawatta_kollupitiya_general,127,58.19,192,16909,AGGREGATED,929,929,0.19,17019,78,0.06,174.37,41730.34,13.73,0.82,6340.73,174.54,1096.00
10500.00,10800.00,cross_junction_ratmalana_bus,0,14.79,0,276,AGGREGATED,63,64,0.11,275,45,0.13,2893.70,20265.40,1.58,0.09,15923.31,3123.93,11832.00
10500.00,10800.00,cross_junction_ratmalana_probe,0,2.35,0,66,AGGREGATED,23,23,0.02,65,43,0.01,2125.47,3114.44,2.08,0.12,2728.11,2190.89,1508.00
10500.00,10800.00,cross_junction_ratmalana_general,179,224.79,211,5945,AGGREGATED,1576,1577,1.70,5907,43,0.63,2147.96,297611.57,2.06,0.12,259496.31,2197.13,150797.97
10500.00,10800.00,wellawatta_kollupitiya_bus,0,2.05,0,194,AGGREGATED,2,2,0.01,196,76,0.01,403.38,1422.92,5.76,0.35,248.76,462.81,95.00
10500.00,10800.00,wellawatta_kollupitiya_probe,,,,,,,,,,,,,,,,,,
10500.00,10800.00,wellawatta_kollupitiya_general,66,42.44,176,12488,AGGREGATED,717,717,0.14,12616,78,0.05,170.81,30434.17,14.02,0.84,4229.38,170.89,745.00
10800.00,11100.00,cross_junction_ratmalana_bus,0,15.67,0,243,AGGREGATED,24,24,0.12,236,45,0.14,3542.12,21471.69,1.29,0.08,18029.62,3826.75,14192.00
10800.00,11100.00,cross_junction_ratmalana_probe,0,2.41,0,48,AGGREGATED,17,17,0.02,48,43,0.01,2557.68,3189.04,1.73,0.10,2846.77,2626.47,1716.00
10800.00,11100.00,cross_junction_ratmalana_general,157,237.84,194,5237,AGGREGATED,1373,1373,1.80,5174,43,0.66,2466.72,314884.15,1.79,0.11,280049.87,2522.86,169971.19
10800.00,11100.00,wellawatta_kollupitiya_bus,0,0.32,0,24,AGGREGATED,0,0,0.00,26,76,0.00,442.75,218.76,5.25,0.31,16.69,509.33,0.00
10800.00,11100.00,wellawatta_kollupitiya_probe,,,,,,,,,,,,,,,,,,
10800.00,11100.00,wellawatta_kollupitiya_general,55,51.08,277,15370,AGGREGATED,584,584,0.16,15559,78,0.06,167.05,36628.13,14.33,0.86,4282.42,166.93,377.00
