,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime,rand_seed
129,13200.0,13500.0,cross_junction_ratmalana_probe,0.0,1.95,0.0,65.0,AGGREGATED,15.0,15.0,0.01,66.0,43.0,0.01,1687.8,2576.71,2.62,0.16,2182.33,1733.49,1188.0,14762
130,13200.0,13500.0,wellawatta_kollupitiya_bus,0.0,3.02,0.0,310.0,AGGREGATED,2.0,2.0,0.01,310.0,76.0,0.01,375.03,2091.61,6.19,0.37,375.47,427.85,97.0,14762
131,13200.0,13500.0,wellawatta_kollupitiya_probe,,,,,,,,,,,,,,,,,,,14762
132,13500.0,13800.0,cross_junction_ratmalana_bus,0.0,15.64,0.0,237.0,AGGREGATED,32.0,32.0,0.12,232.0,45.0,0.13,3462.59,21433.88,1.32,0.08,17582.06,3768.31,15899.0,14762
133,13500.0,13800.0,cross_junction_ratmalana_probe,0.0,2.31,0.0,49.0,AGGREGATED,8.0,8.0,0.02,46.0,43.0,0.01,2566.0,3064.16,1.72,0.1,2734.38,2642.9,2130.0,14762
134,13500.0,13800.0,wellawatta_kollupitiya_bus,0.0,2.42,0.0,233.0,AGGREGATED,1.0,1.0,0.01,233.0,76.0,0.01,396.07,1680.39,5.86,0.35,368.34,448.51,101.0,14762
135,13500.0,13800.0,wellawatta_kollupitiya_probe,0.0,0.27,0.0,70.0,AGGREGATED,3.0,3.0,0.0,69.0,78.0,0.0,198.1,196.55,12.09,0.73,64.72,199.7,2.0,14762
136,13800.0,14100.0,cross_junction_ratmalana_bus,0.0,16.58,0.0,155.0,AGGREGATED,15.0,15.0,0.12,140.0,45.0,0.15,6932.98,22725.32,0.66,0.04,20527.6,7658.2,19302.0,14762
137,13800.0,14100.0,cross_junction_ratmalana_probe,0.0,2.69,0.0,43.0,AGGREGATED,5.0,5.0,0.02,42.0,43.0,0.01,3561.84,3558.75,1.24,0.07,3264.18,3662.51,2800.0,14762
138,13800.0,14100.0,wellawatta_kollupitiya_bus,0.0,3.48,0.0,336.0,AGGREGATED,8.0,8.0,0.01,336.0,76.0,0.01,384.65,2410.9,6.04,0.36,424.1,435.07,87.0,14762
139,13800.0,14100.0,wellawatta_kollupitiya_probe,0.0,0.38,0.0,67.0,AGGREGATED,6.0,6.0,0.0,68.0,78.0,0.0,270.46,271.04,8.85,0.53,115.12,267.57,7.0,14762
140,14100.0,14400.0,cross_junction_ratmalana_bus,0.0,17.43,0.0,180.0,AGGREGATED,26.0,26.0,0.13,160.0,45.0,0.15,6191.84,23883.23,0.74,0.04,21262.97,6778.68,20296.0,14762
