interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
3600.00,7200.00,ed_bus_speed,0,2.70,0,71,WK_MP_068,0,0,0.68,71,0.38,1.47,104.60,15.44,0.93,7.70,0.70,0.00
3600.00,7200.00,ed_bus_speed,0,4.39,0,71,WK_MP_069,0,0,1.10,71,0.38,1.10,78.09,15.40,0.92,5.94,0.32,0.00
3600.00,7200.00,ed_bus_speed,0,1.45,0,71,WK_MP_070,3,3,0.36,71,0.39,7.83,556.15,15.13,0.91,51.40,7.02,0.00
3600.00,7200.00,ed_bus_speed,0,3.97,0,71,WK_MP_071,0,0,0.99,71,0.40,1.22,86.28,14.84,0.89,9.48,0.41,0.00
3600.00,7200.00,ed_bus_speed,0,2.13,0,71,WK_MP_072,0,0,0.53,71,0.40,2.17,153.72,14.82,0.89,17.04,1.35,0.00
3600.00,7200.00,ed_bus_speed,0,1.97,0,71,WK_MP_073,0,0,0.49,71,0.41,2.67,189.55,14.51,0.87,24.59,1.84,0.00
3600.00,7200.00,ed_bus_speed,0,2.39,0,71,WK_MP_074,0,0,0.60,71,0.59,4.97,352.67,10.65,0.64,127.32,3.97,45.00
3600.00,7200.00,ed_bus_speed,0,6.16,0,71,WK_MP_075,0,0,1.54,71,1.52,6.86,487.09,4.95,0.30,342.36,5.42,173.00
3600.00,7200.00,ed_bus_speed,0,15.39,0,71,WK_MP_076,0,0,3.85,71,1.37,3.70,262.55,4.53,0.27,191.26,2.30,91.00
3600.00,7200.00,ed_bus_speed,0,19.40,0,71,WK_MP_077,2,2,4.85,71,5.42,29.09,2044.73,1.42,0.09,523.78,26.56,55.00
3600.00,7200.00,ed_bus_speed,0,1.82,0,71,WK_MP_078,17,17,0.46,71,0.48,8.86,628.27,12.17,0.73,169.67,8.00,3.00
3600.00,7200.00,ed_bus_speed,0,10.15,0,84,gneE40,6,6,5.08,81,5.81,56.38,4651.18,2.47,0.15,2248.19,54.79,631.00
3600.00,7200.00,ed_bus_speed,0,0.38,3,0,gneE5,3,3,0.19,3,0.23,213.81,624.71,2.17,0.16,525.96,212.16,351.00
7200.00,10800.00,ed_bus_speed,0,1.60,0,72,102651364#23.9,0,0,0.53,73,0.55,6.60,476.80,14.38,0.86,65.56,5.83,0.00
7200.00,10800.00,ed_bus_speed,0,12.44,76,0,112446385#5,1,1,6.22,80,7.45,345.99,25883.68,1.71,0.10,23235.82,345.06,16578.00
7200.00,10800.00,ed_bus_speed,2,0.08,0,2,15242148#0,0,0,0.08,0,0.09,26.94,51.61,7.36,0.88,6.04,25.31,0.00
7200.00,10800.00,ed_bus_speed,1,0.03,0,1,155990909#1,1,1,0.01,0,0.02,25.50,24.54,10.27,0.92,1.85,24.34,0.00
7200.00,10800.00,ed_bus_speed,0,4.59,0,70,161480084#0,7,7,2.30,70,2.24,10.05,701.85,5.42,0.33,473.72,8.01,137.00
7200.00,10800.00,ed_bus_speed,0,4.31,0,70,161480084#1,6,6,2.16,70,2.18,10.57,739.59,5.64,0.34,489.19,9.12,141.00
7200.00,10800.00,ed_bus_speed,0,11.07,0,69,161480084#10,3,3,5.53,69,5.96,25.65,1769.70,2.20,0.13,1536.21,23.27,738.00
7200.00,10800.00,ed_bus_speed,0,14.43,0,69,161480084#11,2,2,7.22,69,4.04,6.46,441.68,3.18,0.19,357.54,3.53,104.00
7200.00,10800.00,ed_bus_speed,0,10.39,0,69,161480084#12,2,2,5.20,69,5.73,37.13,2534.79,2.15,0.13,2208.21,33.94,856.00
7200.00,10800.00,ed_bus_speed,0,12.43,0,68,161480084#14,1,1,6.21,69,6.90,44.00,3015.74,1.80,0.11,2689.21,41.45,1264.00
7200.00,10800.00,ed_bus_speed,0,12.06,0,69,161480084#15,0,0,6.03,69,6.41,32.17,2225.57,1.97,0.12,1962.94,29.26,919.00
7200.00,10800.00,ed_bus_speed,0,11.13,0,70,161480084#16,0,0,5.57,69,6.37,63.22,4391.42,1.92,0.12,3884.91,60.64,1725.00
7200.00,10800.00,ed_bus_speed,0,14.58,0,69,161480084#17,1,1,7.29,68,8.37,49.55,3397.19,1.55,0.09,1846.80,47.54,799.00
7200.00,10800.00,ed_bus_speed,0,8.41,0,68,161480084#18,1,1,2.80,68,2.80,20.20,1373.81,2.84,0.17,1139.78,14.91,707.00
7200.00,10800.00,ed_bus_speed,0,9.92,0,70,161480084#2,17,17,3.31,70,3.65,19.37,1329.75,2.54,0.15,541.06,17.38,206.00
7200.00,10800.00,ed_bus_speed,0,10.22,0,68,161480084#20,1,1,3.41,67,3.60,28.66,1939.51,2.26,0.14,1676.27,27.36,1319.00
7200.00,10800.00,ed_bus_speed,0,5.17,0,66,161480084#22,3,3,2.58,67,2.99,33.49,2215.40,3.91,0.23,773.35,32.16,88.00
7200.00,10800.00,ed_bus_speed,0,1.48,0,67,161480084#23,0,0,0.74,67,0.79,9.41,630.33,13.87,0.83,105.94,8.53,1.00
7200.00,10800.00,ed_bus_speed,0,4.72,0,67,161480084#24,4,4,2.36,66,2.73,31.35,2092.01,4.31,0.26,674.52,30.06,93.00
7200.00,10800.00,ed_bus_speed,0,2.15,0,66,161480084#26,2,2,1.08,66,0.86,2.85,185.76,12.62,0.76,45.08,1.98,0.00
7200.00,10800.00,ed_bus_speed,0,8.03,0,69,161480084#3,18,18,2.68,70,3.00,23.10,1609.26,2.93,0.18,1326.47,21.92,920.00
7200.00,10800.00,ed_bus_speed,0,3.68,0,70,161480084#4,3,3,1.84,70,2.06,19.09,1336.57,5.92,0.36,862.03,17.45,376.00
7200.00,10800.00,ed_bus_speed,0,8.30,0,70,161480084#5,3,3,4.15,71,4.59,27.02,1892.22,2.79,0.17,1575.83,24.86,697.00
7200.00,10800.00,ed_bus_speed,0,9.31,0,70,161480084#6,0,0,4.65,70,4.43,13.74,961.94,2.96,0.18,790.99,10.70,270.00
7200.00,10800.00,ed_bus_speed,0,13.15,0,70,161480084#7,5,5,6.58,71,7.48,57.89,4070.00,1.69,0.10,3049.87,55.66,1370.00
7200.00,10800.00,ed_bus_speed,0,12.53,0,71,161480084#8,10,10,6.26,70,6.71,22.80,1605.36,2.09,0.13,1404.33,20.11,753.00
7200.00,10800.00,ed_bus_speed,0,12.17,0,70,161480084#9,2,2,6.09,69,6.50,28.34,1968.73,2.01,0.12,1731.51,25.45,803.00
7200.00,10800.00,ed_bus_speed,0,0.29,0,6,185733519#1,0,0,0.10,6,0.07,3.09,18.52,9.68,0.70,5.62,1.98,0.00
7200.00,10800.00,ed_bus_speed,2,0.30,0,2,18598988,0,0,0.15,0,0.16,47.99,84.33,1.90,0.69,26.37,41.78,0.00
7200.00,10800.00,ed_bus_speed,0,1.56,0,71,194092438#4,1,1,0.78,72,0.79,5.34,383.20,15.06,0.90,37.00,4.55,0.00
7200.00,10800.00,ed_bus_speed,0,1.79,0,72,194092438#5,6,6,0.90,72,0.89,4.68,337.14,13.71,0.82,59.79,3.83,8.00
7200.00,10800.00,ed_bus_speed,0,1.49,0,72,194092438#6,4,4,0.74,72,0.79,7.22,519.92,15.12,0.91,48.32,6.43,0.00
7200.00,10800.00,ed_bus_speed,0,1.54,0,72,194092438#7,1,1,0.77,72,0.80,6.11,440.08,14.98,0.90,44.58,5.29,0.00
7200.00,10800.00,ed_bus_speed,6,0.14,0,6,194099559#0,0,0,0.03,0,0.04,17.02,99.98,12.63,0.91,9.04,16.09,0.00
7200.00,10800.00,ed_bus_speed,4,0.09,0,4,19811337#1,1,1,0.05,0,0.05,26.50,102.89,11.98,0.86,14.12,25.51,0.00
7200.00,10800.00,ed_bus_speed,0,0.28,0,6,23169388,0,0,0.09,6,0.05,1.79,10.74,12.69,0.91,0.93,0.85,0.00
7200.00,10800.00,ed_bus_speed,4,0.59,0,4,23323086,0,0,0.59,0,0.69,143.59,552.00,1.89,0.68,175.57,137.37,0.00
7200.00,10800.00,ed_bus_speed,0,1.07,0,6,259798301#1,0,0,0.54,6,0.49,22.93,131.67,2.01,0.12,115.80,12.10,38.00
7200.00,10800.00,ed_bus_speed,0,1.82,0,52,289027979,0,0,0.61,52,0.39,1.81,94.12,14.59,0.87,11.77,1.00,0.00
7200.00,10800.00,ed_bus_speed,0,1.04,0,19,351910071,0,0,0.52,19,0.42,4.88,92.74,7.53,0.45,50.83,3.57,0.00
7200.00,10800.00,ed_bus_speed,0,0.67,0,6,356578615#0,15,15,0.13,6,0.13,51.63,307.31,2.68,0.16,257.35,49.13,98.00
7200.00,10800.00,ed_bus_speed,0,0.58,3,0,376601738#2,0,0,0.58,3,0.69,97.23,266.24,1.43,0.51,138.47,94.77,72.00
7200.00,10800.00,ed_bus_speed,51,1.03,0,51,455043449,0,0,0.52,0,0.57,7.67,373.09,14.66,0.88,44.98,6.88,0.00
